Titulo,Director,FechaDeEstreno,IdiomaOriginal,Distribuidora,Descripcion,Precio,Genero,Clasificacion,Calificacion,Precio
Titanic,James Cameron,1997-12-19,Inglés,20th Century Fox,Un épico romance en el trágico viaje del Titanic.,12.99,Romance,A,4,9.99
El Padrino,Francis Ford Coppola,1972-03-15,Inglés,Paramount Pictures,La historia de la familia Corleone y el crimen organizado.,11.99,Crimen,B,5,10.99
Parásitos,Bong Joon-ho,2019-11-21,Coreano,Neon,Una sátira social sobre la brecha entre ricos y pobres.,14.99,Drama,A,4,9.99
El Caballero de la Noche,Christopher Nolan,2008-07-18,Inglés,Warner Bros.,El enfrentamiento entre Batman y el Joker.,13.99,Acción,B,5,11.99
Forrest Gump,Robert Zemeckis,1994-07-06,Inglés,Paramount Pictures,La vida de Forrest Gump a lo largo de las décadas.,12.99,Drama,A,5,10.99
El Señor de los Anillos: El Retorno del Rey,Peter Jackson,2003-12-17,Inglés,New Line Cinema,La conclusión de la trilogía de El Señor de los Anillos.,13.99,Fantasía,B,5,11.99
El Rey León,Roger Allers,1994-06-15,Inglés,Walt Disney Pictures,El viaje de Simba hacia su destino como rey.,10.99,Animación,A,5,10.99
Interestelar,Christopher Nolan,2014-11-07,Inglés,Warner Bros.,Una odisea espacial para salvar a la humanidad.,14.99,Ciencia Ficción,A,4,9.99
Matrix,The Wachowskis,1999-03-31,Inglés,Warner Bros.,La realidad virtual y la lucha contra las máquinas.,12.99,Ciencia Ficción,A,4,11.99
El Padrino,Francis Ford Coppola,1972-03-15,Inglés,Paramount Pictures,La historia de la familia Corleone y el crimen organizado.,11.99,Crimen,B,5,10.99
Gladiador,Ridley Scott,2000-05-05,Inglés,DreamWorks Pictures,La historia de un general romano convertido en gladiador.,11.99,Acción,A,5,10.99
Up,Pete Docter,2009-05-29,Inglés,Walt Disney Pictures,Una aventura animada en busca de aventura y amor.,9.99,Animación,A,4,9.99
